         1149100 function calls in 0.686 seconds

   Ordered by: cumulative time
   List reduced from 95 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.686    0.686 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:346(Lcyl_v2022a)
        1    0.002    0.002    0.686    0.686 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:310(define_patch_characteristics)
      560    0.000    0.000    0.455    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:340(<genexpr>)
      420    0.040    0.000    0.455    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:96(_block)
    64260    0.310    0.000    0.409    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:110(decode_pixels)
      140    0.015    0.000    0.198    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:111(_classes)
    10640    0.056    0.000    0.182    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:410(shaded_or_sunlit)
    74738    0.049    0.000    0.097    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1703(_operate)
    96031    0.035    0.000    0.060    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1691(_operands)
   277829    0.043    0.000    0.043    0.000 {built-in method numpy.asarray}
      140    0.030    0.000    0.030    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:243(_longwave)
    64260    0.021    0.000    0.029    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:50(_patch)
    21293    0.016    0.000    0.028    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1687(_divide)
    64260    0.020    0.000    0.020    0.000 {built-in method numpy.arange}
    64260    0.016    0.000    0.016    0.000 {built-in method numpy.frombuffer}
    64260    0.012    0.000    0.012    0.000 {method 'view' of 'numpy.ndarray' objects}
   192780    0.007    0.000    0.007    0.000 {built-in method _operator.index}
    75112    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    64408    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
      421    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
    10640    0.001    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/multiarray.py:403(where)
      142    0.000    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/numeric.py:97(zeros_like)
        1    0.000    0.000    0.000    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:331(<listcomp>)
      284    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      431    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}


